query_id,original_claim,edited_claim,rouge_score,edit_distance,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news y'all been waitin' for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,"{""rouge-1"": 0.8837209252352624, ""rouge-2"": 0.7804877998810233, ""rouge-l"": 0.8837209252352624}",0.1875,"{""label"": ""LABEL_1"", ""score"": 0.9994248151779175}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news wey everybody dey wait for (and we no fit wait to reveal 😭)… OREO x LADY GAGA packs don drop today! 🎤🎶,"{""rouge-1"": 0.7555555505580247, ""rouge-2"": 0.5909090859194216, ""rouge-l"": 0.7555555505580247}",0.3225806451612903,"{""label"": ""LABEL_1"", ""score"": 0.9993962049484253}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today lah! 🎤🎶,"{""rouge-1"": 0.8888888838913581, ""rouge-2"": 0.7906976694213088, ""rouge-l"": 0.8888888838913581}",0.12903225806451613,"{""label"": ""LABEL_1"", ""score"": 0.9994286894798279}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'Back in October, now-President Biden done said you can't make laws by executive action unless you a dictator. But in just one week, he signed over 30 solo actions.'","{""rouge-1"": 0.6984126934139583, ""rouge-2"": 0.43749999500000003, ""rouge-l"": 0.6984126934139583}",0.37254901960784315,"{""label"": ""LABEL_1"", ""score"": 0.9995030164718628}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden talk say you no fit make laws by executive action unless you be dictator. Well, within one week, he don sign more than 30 solo actions.'","{""rouge-1"": 0.6567164129204723, ""rouge-2"": 0.4477611890398752, ""rouge-l"": 0.6567164129204723}",0.37254901960784315,"{""label"": ""LABEL_1"", ""score"": 0.999505877494812}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'In October, now-President Biden say cannot legislate by executive action unless you are a dictator. He sign more than 30 unilateral actions in one week.'","{""rouge-1"": 0.7213114704219297, ""rouge-2"": 0.5666666616888889, ""rouge-l"": 0.6557376999301264}",0.39215686274509803,"{""label"": ""LABEL_1"", ""score"": 0.9995081424713135}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","African American Vernacular English: In October, he was like, 'I got this weird feelin', we a democracy ... if you can't get the votes ... you can't [legislate] by executive order unless you a dictator. We a democracy. We need consensus.'","{""rouge-1"": 0.5714285664399092, ""rouge-2"": 0.34285713787346944, ""rouge-l"": 0.5714285664399092}",0.46875,"{""label"": ""LABEL_1"", ""score"": 0.9994574189186096}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","Nigerian English: In October, he talk say, 'I get this strange notion, we be democracy ... if you no fit get the votes ... you no fit [legislate] by executive order unless you be dictator. We be democracy. We need consensus.'","{""rouge-1"": 0.622950814673475, ""rouge-2"": 0.3768115892123504, ""rouge-l"": 0.622950814673475}",0.5344827586206896,"{""label"": ""LABEL_1"", ""score"": 0.9994496703147888}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","Singapore English: In October, he say, 'I got this strange idea, we are a democracy ... if you cannot get the votes ... you cannot [legislate] by executive order unless you are a dictator. We are a democracy. We need consensus.'","{""rouge-1"": 0.6557376999193766, ""rouge-2"": 0.4411764655925606, ""rouge-l"": 0.6557376999193766}",0.4482758620689655,"{""label"": ""LABEL_1"", ""score"": 0.9994576573371887}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"Naw, they disrespected our main flag on Republic Day. Took down our national colors at Red Fort. Was this protest always 'bout disrespecting our state? | #RDaySpiritShamed","{""rouge-1"": 0.3846153796227811, ""rouge-2"": 0.14545454046942166, ""rouge-l"": 0.3846153796227811}",0.660377358490566,"{""label"": ""LABEL_1"", ""score"": 0.9994698166847229}"
