tweet_id,article_url,label
1104058684479598592,https://www.altnews.in/false-claim-that-mohd-rafis-song-on-kashmir-jannat-ki-hai-tasveer-was-banned-in-1966/,1
1192343702699511810,https://www.altnews.in/no-this-video-is-not-of-a-make-in-india-train-manufactured-for-sydney-metro/,1
1057653724208922624,https://www.altnews.in/video-of-jilted-man-viral-as-kashmiri-extremist-caught-by-locals-in-punjab/,1
1263506117155422208,https://www.altnews.in/fact-check-did-rajasthan-govt-halt-buses-transporting-students-to-up-for-rs-19-lakh-fuel-dues/,1
1209154232483368969,https://www.altnews.in/no-adolf-hitler-had-not-said-hate-me-but-dont-hate-germany/,1
1001793917313015809,https://www.altnews.in/baba-ramdevs-patanjali-pulls-a-fast-one-rebrands-an-american-app-as-swadeshi-kimbho-chat-app/,1
1214065977932959744,https://www.altnews.in/video-of-abvp-member-assaulting-aisa-student-shared-by-journalists-as-left-parties-attacking-abvp/,1
1075267954927853569,https://www.altnews.in/congress-members-target-pm-modi-based-on-incorrect-tweet-by-ndtv/,1
996062376230359043,https://www.altnews.in/video-of-bjp-members-hoisting-bjp-flag-to-the-indian-national-anthem-is-from-2018/,1
1156575673030459393,https://www.boomlive.in/viral-facebook-post-misquotes-zomato-founder-on-delivery-rider-row/,1
1106919640435814400,https://www.altnews.in/alpesh-thakors-rally-video-morphed-with-pro-modi-chants/,1
1255094359453769728,https://www.boomlive.in/fake-news/false-300-positive-covid-19-cases-in-jaipur-after-smoking-chillum-8039,1
1204122044360613888,https://www.altnews.in/trucks-loaded-with-onions-blocked-by-mamata-banerjee-govt-to-keep-prices-inflated-alt-news-fact-check/,1
1150668571799744512,https://www.altnews.in/media-misreports-bjp-mlas-daughter-sakshi-mishra-and-her-husband-kidnapped-outside-allahabad-hc/,1
1174605970162348032,https://www.altnews.in/video-of-woman-knifed-by-a-man-in-jharkhand-viral-with-a-communal-angle/,1
1153924136672157696,https://www.altnews.in/old-images-of-dead-womans-body-broken-at-hip-viral-on-social-media/,1
1064500847369994241,https://www.altnews.in/no-inc-mla-jitu-patwari-did-not-say-that-congress-bribed-people-to-vote-for-them/,1
1053634499974582274,https://www.altnews.in/no-imtiaz-ali-was-not-the-name-of-the-train-driver-in-the-amritsar-train-tragedy/,1
1158784783167586304,https://www.altnews.in/old-photos-falsely-shared-as-muslim-youths-desecrating-shivling-in-ups-azamgarh/,1
1120545518596313093,https://www.altnews.in/2017-gujarat-video-viral-as-rohingyas-and-bangladeshi-mistreat-bjp-workers-in-bengal/,1
634658240731705344,https://www.altnews.in/no-new-york-times-did-not-say-that-pm-modi-has-caused-war-like-damage-in-pakistan/,1
